1 1:0 2:0 3:0 4:0 5:0 6:0 7:4538.5 8:4858.5 
1 1:4 2:142 3:115 4:82 5:38 6:32 7:5266.5 8:6393 
1 1:0 2:25 3:25 4:25 5:25 6:25 7:2925 8:5801 
1 1:0 2:83 3:83 4:83 5:83 6:83 7:2862.5 8:5633 
1 1:0 2:83 3:83 4:83 5:83 6:83 7:2617 8:5279.5 
1 1:4 2:150 3:117 4:91 5:29 6:29 7:4248 8:6619 
1 1:0 2:26 3:26 4:26 5:26 6:26 7:4177.5 8:7964 
1 1:1 2:133 3:37 4:37 5:37 6:37 7:5760.5 8:10098 
1 1:4 2:158 3:98 4:62 5:29 6:27 7:5723.5 8:6997.5 
1 1:0 2:37 3:37 4:37 5:37 6:37 7:3687.5 8:6984.5 
1 1:3 2:146 3:116 4:53 5:33 6:33 7:4710 8:6634.5 
1 1:3 2:159 3:121 4:70 5:26 6:26 7:4832.5 8:6076 
1 1:3 2:161 3:112 4:60 5:24 6:24 7:5119.5 8:6067 
1 1:2 2:58 3:22 4:24 5:24 6:24 7:4651 8:5906.5 
1 1:3 2:159 3:112 4:59 5:27 6:27 7:4945.5 8:5763.5 
1 1:4 2:152 3:111 4:93 5:62 6:28 7:4865 8:6140.5 
1 1:2 2:110 3:63 4:30 5:30 6:30 7:4703.5 8:5822 
1 1:2 2:112 3:61 4:29 5:29 6:29 7:4845.5 8:5728.5 
1 1:2 2:109 3:64 4:32 5:32 6:32 7:4441.5 8:6183.5 
1 1:3 2:147 3:114 4:62 5:27 6:27 7:5059 8:6227 
1 1:3 2:109 3:63 4:27 5:30 6:30 7:4978 8:6452.5 
1 1:5 2:148 3:108 4:78 5:63 6:14 7:4929 8:7066.5 
1 1:4 2:157 3:108 4:66 5:19 6:31 7:4953.5 8:6390 
1 1:4 2:156 3:108 4:61 5:13 6:28 7:4813.5 8:5760 
1 1:4 2:144 3:111 4:62 5:11 6:30 7:4948 8:6207 
1 1:3 2:142 3:69 4:30 5:32 6:32 7:4936 8:5915.5 
1 1:3 2:110 3:90 4:57 5:27 6:27 7:4696.5 8:5486.5  
1 1:2 2:157 3:58 4:26 5:26 6:26 7:4279.5 8:5403.5 
1 1:4 2:151 3:91 4:61 5:8 6:27 7:4437.5 8:5704 
1 1:4 2:162 3:107 4:65 5:20 6:30 7:4320.5 8:5223 
1 1:4 2:148 3:114 4:61 5:26 6:28 7:4912 8:6322 
1 1:2 2:115 3:63 4:28 5:28 6:28 7:4229 8:5504 
1 1:2 2:145 3:88 4:35 5:35 6:35 7:4252.5 8:5439 
1 1:4 2:156 3:115 4:57 5:19 6:29 7:4145.5 8:5119 
1 1:4 2:163 3:108 4:65 5:29 6:29 7:4533 8:5622.5 
1 1:3 2:96 3:69 4:27 5:32 6:32 7:4031 8:5364 
1 1:3 2:167 3:116 4:24 5:32 6:32 7:3691.5 8:4348.5 
1 1:2 2:111 3:65 4:33 5:33 6:33 7:3961.5 8:5673 
1 1:4 2:155 3:113 4:61 5:9 6:28 7:4592.5 8:6439 
1 1:2 2:106 3:50 4:25 5:25 6:25 7:4465.5 8:6175.5 
1 1:4 2:151 3:111 4:63 5:18 6:31 7:4790.5 8:6253.5 
1 1:4 2:153 3:118 4:69 5:17 6:31 7:4955 8:6249 
1 1:3 2:152 3:69 4:26 5:31 6:31 7:4958 8:6161 
1 1:3 2:152 3:99 4:66 5:30 6:30 7:4456.5 8:5582.5 
1 1:4 2:147 3:114 4:79 5:29 6:29 7:4573.5 8:6085 
1 1:3 2:100 3:68 4:31 5:30 6:30 7:4378.5 8:5657.5 
1 1:3 2:103 3:69 4:25 5:30 6:30 7:4413 8:5082.5 
1 1:3 2:163 3:102 4:69 5:30 6:30 7:4504.5 8:5472.5 
